"pnr","preis"
"3833936428","0.00"
"3833936401","0.00"
"3831821380","0.00"
"3789111252","0.00"
"3596803926","0.00"
"3785530471","0.00"
"3933496926","0.00"
"347352008X","0.00"
"3785550286","0.00"
"3596802601","0.00"
"3791504541","0.00"
"379150455X","0.00"
"3791504657","0.00"
"3791504673","0.00"
"3423125004","0.00"
"3551552835","0.00"
"3551552851","0.00"
"355155286X","0.00"
"3551552878","0.00"
"3401058827","0.00"
"3401057146","0.00"
"3833211385","0.00"
"3453152271","0.00"
"3453137442","0.00"
"3570130231","0.00"
"357013024X","0.00"
"3570129926","0.00"
"357012990X","0.00"
"3570129977","0.00"
"3570129993","0.00"
"3570130215","0.00"
"3788604212","0.00"
"3788604107","0.00"
"3491886104","0.00"
"3491886112","0.00"
"3522177088","0.00"
"3522177096","0.00"
"352217710X","0.00"
"3522174550","0.00"
"3522174917","0.00"
"3522176162","0.00"
"3473520284","0.00"
"3788602481","0.00"
"3789142395","0.00"
"3446206027","0.00"
"3446205136","0.00"
"3446206418","0.00"
"3789140244","0.00"
"3570216152","0.00"
"3570128083","0.00"
"3789119520","0.00"
"3789119547","0.00"
"3789142107","0.00"
"3789142336","0.00"
"3831002983","0.00"
"3505120464","0.00"
"3505120456","0.00"
"3491887852","0.00"
"3491886112","0.00"
"3491886120","0.00"
"346821507X","0.00"
"3440080218","0.00"
"344007983X","0.00"
"3440079856","0.00"
"3440080226","0.00"
"3522177258","0.00"
"3522177231","0.00"
"3522177592","0.00"
"3551552975","0.00"
"3551552002","0.00"
"3551552096","0.00"
"355155210X","0.00"
"3551566666","0.00"
"3570129985","0.00"
"3570129993","0.00"
"3570130177","0.00"
"3570130215","0.00"
"357013024X","0.00"
"3784440274","0.00"
"3499205823","0.00"
"3499208555","0.00"
"3522434552","0.00"
"3926946695","0.00"
"3788602678","0.00"
"3499208555","0.00"
"3499205823","0.00"
"3499212129","0.00"
"3827051053","0.00"
"3596851599","0.00"
"3789140201","0.00"
"3789140244","0.00"
"3257008767","0.00"
"3257008775","0.00"
"3257008945","0.00"
"3257011202","0.00"
"3257800010","0.00"
"3785542631","0.00"
"3811221191","0.00"
"3522177231","0.00"
"3522177258","0.00"
"3522177606","0.00"
"357030261X","0.00"
"3401027050","0.00"
"3551363056","0.00"
"3570301931","0.00"
"3928885030","0.00"
"3928885014","0.00"
"3928885057","0.00"
"3453137442","0.00"
"3453152271","0.00"
"3423703148","0.00"
"3401400010","0.00"
"3423620927","0.00"
"3423621559","0.00"
"3551372144","0.00"
"3551371202","0.00"
"3440102076","0.00"
"3440102033","0.00"
"3440102041","0.00"
"344010205X","0.00"
"3440102084","0.00"
"3440102092","0.00"
"3789143219","0.00"
"3570300692","0.00"
"3473581852","0.00"
"3570302288","0.00"
"3505121193","0.00"
"3505122017","0.00"
"3924491321","0.00"
"3570127583","0.00"
"347177274X","0.00"
"3548603874","0.00"
"3570127761","0.00"
"3833211113","0.00"
"3833211911","0.00"
"3491886112","0.00"
"3491886104","0.00"
"3491886120","0.00"
"377072822X","0.00"
"3442339006","0.00"
"3520452030","0.00"
"3551371202","0.00"
"3551372144","0.00"
"3570129942","0.00"
"3570129993","0.00"
"3934029140","0.00"
"3442339057","0.00"
"3257008945","0.00"
"3257008775","0.00"
"3257011202","0.00"
"3257800010","0.00"
"3934342426","0.00"
"3926512458","0.00"
"3473373486","0.00"
"3897771136","0.00"
"3522177606","0.00"
"3522177134","0.00"
"3522177355","0.00"
"3522177592","0.00"
"3522177622","0.00"
"3570126463","0.00"
"3833211105","0.00"
"3551552533","0.00"
"3551552002","0.00"
"3551552096","0.00"
"3551566666","0.00"
"340778922X","0.00"
"3570302385","0.00"
"3938276010","0.00"
"3938276061","0.00"
"3551351279","0.00"
"3551353794","0.00"
"3473582123","0.00"
"3473580082","0.00"
"3473581720","0.00"
"3570211886","0.00"
"3473581852","0.00"
"3570300692","0.00"
"3570302288","0.00"
"3931521796","0.00"
"3423706341","0.00"
"3423706732","0.00"
"3440102386","0.00"
"344010169X","0.00"
"355155210X","0.00"
"3551552975","0.00"
"3551566666","0.00"
"3551552096","0.00"
"3551552533","0.00"
"3551552975","0.00"
"3551566666","0.00"
"3446205136","0.00"
"3446206027","0.00"
"3446206418","0.00"
"3789143227","0.00"
"3833211911","0.00"
"3473344273","0.00"
"3473344435","0.00"
"3789140244","0.00"
"3522176162","0.00"
"3522174550","0.00"
"3522174917","0.00"
"3782708989","0.00"
"3473521450","0.00"
"3473520225","0.00"
"3423072571","0.00"
"3800051281","0.00"
"3423621672","0.00"
"3570130231","0.00"
"3570130193","0.00"
"357013024X","0.00"
"3570128083","0.00"
"3440103382","0.00"
"3789142107","0.00"
"3789119520","0.00"
"3789119547","0.00"
"3789142336","0.00"
"3933241553","0.00"
"3809408247","0.00"
"3928885030","0.00"
"3928885057","0.00"
"3570128539","0.00"
"3440102092","0.00"
"3440102033","0.00"
"3440102041","0.00"
"344010205X","0.00"
"3440102076","0.00"
"3440102084","0.00"
"3831520186","0.00"
"3522166108","0.00"
"3789142336","0.00"
"3789119520","0.00"
"3789119547","0.00"
"3789142107","0.00"
"3788602953","0.00"
"3788604107","0.00"
"3831520666","0.00"
"377072822X","0.00"
"3770728505","0.00"
"3938276010","0.00"
"3401055712","0.00"
"3401054457","0.00"
"3442545811","0.00"
"344254579X","0.00"
"3442545870","0.00"
"3442545889","0.00"
"3473561231","0.00"
